PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
3181733,20177606,3,2020-09-22T17:38:00,"2400 Block Chauncey DR Pittsburgh, PA 15219",N,Bedford Dwellings,2,ROBBERY/CARJACK/GUN,3304 Criminal Mischief. / 3702 Robbery of Motor Vehicle.,509,6,3,-79.97462514,40.44984081
3181739,20177630,3,2020-09-22T18:47:00,"700 Block 5th AV Pittsburgh, PA 15219",Y,Bluff,2,ROBBERY/CARJACK/OTHER,3925 Receiving Stolen Property. / 9501 Bench Warrant,103,6,6,-79.99335582,40.43877246
3182702,20180383,3,2020-09-26T20:30:00,"2100 Block E Carson ST Pittsburgh, PA 15203",Y,South Side Flats,3,ROBBERY/CARJACK/STRONGARM,2701 Simple Assault. / 3702 Robbery of Motor Vehicle.,1609,3,3,-79.97607197,40.42831461
3192234,20209774,3,2020-11-10T13:40:00,"S 22nd ST & Mary ST Pittsburgh, PA 15203",N,South Side Flats,3,ROBBERY/CARJACK/STRONGARM,3702 Robbery of Motor Vehicle.,1609,3,3,-79.97490884,40.42572061
3194475,20218309,3,2020-11-23T23:10:00,"300 Block Suncrest ST Pittsburgh, PA 15210",N,Knoxville,3,ROBBERY/CARJACK/GUN,2702 Aggravated Assault. / 3702 Robbery of Motor Vehicle.,3001,3,5,-79.99322594,40.41056014
3195029,20218150,3,2020-11-23T18:08:00,"1700 Block Belleau DR Pittsburgh, PA 15212",Y,Fineview,1,ROBBERY/CARJACK/GUN,3701 Robbery. / 3702 Robbery of Motor Vehicle.,2509,6,1,-80.00698339,40.46031055
3199152,20232107,3,2020-12-17T21:09:00,"Brutus WY & Thornton ST Pittsburgh, PA 15204",N,Sheraden,6,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,2018,2,5,-80.05533683,40.45652032
3200140,20235900,3,2020-12-25T01:05:00,"1300 Block Banksville RD Pittsburgh, PA 15216",N,Banksville,6,ROBBERY/CARJACK/GUN,3701 Robbery.,2023,2,5,-80.02994329,40.41594188
3202398,21002069,3,2021-01-04T19:20:00,"400 Block Hammond ST Pittsburgh, PA 15204",N,Sheraden,6,ROBBERY/CARJACK/GUN,2705 Recklessy Endangering Another Person. / 2706 Terroristic Threats. / 3702 Robbery of Motor Vehicle. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,2018,2,5,-80.04975744,40.45596992
3202543,21002530,3,2021-01-05T16:13:00,"200 Block Paulson AV Pittsburgh, PA 15206",N,Larimer,5,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,1208,,,0,0
