DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
231304105,01/03/2023 12:00:00 AM,01/03/2023 12:00:00 AM,1300,13,Newton,1391,1,210,ROBBERY,1300 0330 0344 0416 1822 1402 0446 0916 1278,54,M,H,301,GAS STATION,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,998,,,BROADWAY,FLORENCE,33.9747,-118.2783
231704238,01/06/2023 12:00:00 AM,01/06/2023 12:00:00 AM,2210,17,Devonshire,1778,1,210,ROBBERY,0344 0416 1817 0913 0940 0916,27,M,O,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,510,,,WOODLEY                      AV,SUPERIOR                     ST,34.2464,-118.485
231911665,07/15/2023 12:00:00 AM,07/15/2023 12:00:00 AM,0415,19,Mission,1995,1,210,ROBBERY,0906 0443 1816 0334 0354 0330 1822 0916 0418 1402,27,M,H,101,STREET,204,FOLDING KNIFE,AA,Adult Arrest,210,910,998,,14600    BLYTHE                       ST,,34.2152,-118.451
231218388,08/27/2023 12:00:00 AM,08/26/2023 12:00:00 AM,2234,12,77th Street,1253,1,210,ROBBERY,0344 0342 1822 0429 2014 0916 1202,70,M,A,101,STREET,207,OTHER KNIFE,IC,Invest Cont,210,,,,2100 W  74TH                         ST,,33.9728,-118.3156
231418412,10/08/2023 12:00:00 AM,10/08/2023 12:00:00 AM,0140,14,Pacific,1453,1,210,ROBBERY,0302 0337 0916 1310 1309 0340 1318 1822,34,M,W,707,GARAGE/CARPORT,102,HAND GUN,IC,Invest Cont,210,,,,4000    GLENCOE                      AV,,33.9918,-118.4446
230408814,05/27/2023 12:00:00 AM,05/27/2023 12:00:00 AM,1235,04,Hollenbeck,0491,1,210,ROBBERY,0916 1010 0448 0429 0354 0420 0344 0400,41,M,A,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,BOYLE,OLYMPIC,34.0248,-118.2211
231713726,08/10/2023 12:00:00 AM,08/09/2023 12:00:00 AM,1740,17,Devonshire,1708,1,210,ROBBERY,1402 0330 1822 1300 1310 0916,53,M,H,101,STREET,511,VERBAL THREAT,IC,Invest Cont,210,998,,,SEPULVEDA                    BL,SAN FERNANDO                 RD,34.3151,-118.4907
231316217,08/26/2023 12:00:00 AM,08/26/2023 12:00:00 AM,1900,13,Newton,1313,1,210,ROBBERY,1310 0344 0400 1311 0916 1822,30,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,16TH                         ST,CENTRAL                      AV,34.0264,-118.2488
230311803,06/05/2023 12:00:00 AM,06/04/2023 12:00:00 AM,2015,03,Southwest,0379,1,210,ROBBERY,2004 0342 0344 0416 0417 0429 0446 0916 1402 1822,37,M,O,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,1000 W  MARTIN LUTHER KING JR        BL,,34.0145,-118.2937
230211702,06/02/2023 12:00:00 AM,06/02/2023 12:00:00 AM,0900,02,Rampart,0237,1,210,ROBBERY,0916 0330 1822 1300 1310 0334,26,M,H,101,STREET,102,HAND GUN,AO,Adult Other,210,,,,200    LUCAS                        AV,,34.0609,-118.26
